course_ID_full_orig,course_ID,course_num,department,course_title_zh,course_title_eng,credit_unit,limit,new_only,gen_cat,language,room_and_time_orig,time,building,instructor,memo,prerequisite,limitation,speciality,program,extra_enrollment,required_or_elective
11110PE  205017,PE 205017,PE2050,PE   體育室,桌球初學,Ping pong(basic),0,36,0,--,中文 ZH,"Old Gym桌球場	T3T4
",T3T4,Old Gym桌球場,"鄭兆光	ZHENG, ZHAO-GUANG",患有重大傷病或特殊病史之同學，請主動向授課老師說明以提供協助。,--,--,--,--,O 接受 Allowed,--
11110PE  205018,PE 205018,PE2050,PE   體育室,游泳初學,Swimming(basic),0,36,0,--,中文 ZH,"SWIM Pl.游泳池	T3T4
",T3T4,SWIM Pl.游泳池,"李大麟	LEE, TA-LIN",患有重大傷病或特殊病史之同學，請主動向授課老師說明以提供協助。,--,--,--,--,O 接受 Allowed,--
11110PE  205019,PE 205019,PE2050,PE   體育室,排球,Volleyball,0,36,0,--,中文 ZH,"Gym體育館2F	T3T4
",T3T4,Gym體育館,"施惠方	SZU, HUI-FANG",患有重大傷病或特殊病史之同學，請主動向授課老師說明以提供協助。,--,--,--,--,O 接受 Allowed,--
11110PE  205020,PE 205020,PE2050,PE   體育室,速度、敏捷及反應訓練,"Speed, agility and quickness training",0,36,0,--,中文 ZH,"Stadium田徑場	T3T4
",T3T4,Stadium田徑場,"張祐華	CHANG, YU-HUA",患有重大傷病或特殊病史之同學，請主動向授課老師說明以提供協助。,--,--,--,--,O 接受 Allowed,--
11110PE  205021,PE 205021,PE2050,PE   體育室,重量訓練,Weight Training,0,36,0,--,中文 ZH,"WT Rm.重訓室	T3T4
",T3T4,WT Rm.重訓室,"周宜辰	CHOU, YI-CHEN",患有重大傷病或特殊病史之同學，請主動向授課老師說明以提供協助。,--,--,--,--,O 接受 Allowed,--
11110PE  205022,PE 205022,PE2050,PE   體育室,定向越野,Orienteering,0,36,0,--,中文 ZH,"Stadium田徑場	T3T4
",T3T4,Stadium田徑場,"余杰霖	YU, CHIEH-LIN",患有重大傷病或特殊病史之同學，請主動向授課老師說明以提供協助。,--,--,--,--,O 接受 Allowed,--
11110PE  205023,PE 205023,PE2050,PE   體育室,太極拳中級,Tai Chi (Intermediate),0,36,0,--,中文 ZH,"PEC柔道教室	T3T4
",T3T4,PEC柔道教室,"張耀庭	CHANG, YAO-TING",患有重大傷病或特殊病史之同學，請主動向授課老師說明以提供協助。,--,--,--,--,O 接受 Allowed,--
11110PE  205024,PE 205024,PE2050,PE   體育室,羽球初學,Badminton,0,32,0,--,中文 ZH,"alum Gym校友PE館	T3T4
",T3T4,alum Gym校友PE館,"許仁豪	HSU,JEN-HAO",須著乾淨室內運動鞋。患有重大傷病或特殊病史之同學，請主動向授課老師說明以提供協助。,--,--,--,--,O 接受 Allowed,--
11110PE  205025,PE 205025,PE2050,PE   體育室,網球進階,Tennis(advance),0,30,0,--,中文 ZH,"Stadium網球場	T5T6
",T5T6,Stadium網球場,"鄭為仁	CHENG, WEI-JEN",患有重大傷病或特殊病史之同學，請主動向授課老師說明以提供協助。,--,--,--,--,O 接受 Allowed,--
11110PE  205026,PE 205026,PE2050,PE   體育室,足球女,football,0,36,0,--,中文 ZH,"Stadium足球場	T5T6
",T5T6,Stadium足球場,方靖仁	靖仁,患有重大傷病或特殊病史之同學，請主動向授課老師說明以提供協助。,--,限女生,--,--,O 接受 Allowed,--
11110PE  205027,PE 205027,PE2050,PE   體育室,羽球進階,Badminton(advance),0,32,0,--,中文 ZH,"alum Gym校友PE館	T5T6
",T5T6,alum Gym校友PE館,"許仁豪	HSU,JEN-HAO",須著乾淨室內運動鞋。患有重大傷病或特殊病史之同學，請主動向授課老師說明以提供協助。,--,--,--,--,O 接受 Allowed,--
11110PE  205028,PE 205028,PE2050,PE   體育室,桌球初學,Ping pong(basic),0,30,0,--,中文 ZH,"Old Gym桌球場	T5T6
",T5T6,Old Gym桌球場,"吳德成	WU, TE-CHENG",患有重大傷病或特殊病史之同學，請主動向授課老師說明以提供協助。,--,--,--,--,O 接受 Allowed,--
11110PE  205029,PE 205029,PE2050,PE   體育室,重量訓練,Weight Training,0,36,0,--,中文 ZH,"WT Rm.重訓室	T5T6
",T5T6,WT Rm.重訓室,"周宜辰	CHOU, YI-CHEN",患有重大傷病或特殊病史之同學，請主動向授課老師說明以提供協助。,--,--,--,--,O 接受 Allowed,--
11110PE  205030,PE 205030,PE2050,PE   體育室,瑜珈,Yoga,0,36,0,--,中文 ZH,"Dance Rm舞蹈教室	T5T6
",T5T6,Dance Rm舞蹈教室,"張介	CHANG, CHIEH",患有重大傷病或特殊病史之同學，請主動向授課老師說明以提供協助。,--,--,--,--,O 接受 Allowed,--
11110PE  205031,PE 205031,PE2050,PE   體育室,游泳進階,Swimming(advance),0,36,0,--,中文 ZH,"SWIM Pl.游泳池	T5T6
",T5T6,SWIM Pl.游泳池,"李大麟	LEE, TA-LIN",患有重大傷病或特殊病史之同學，請主動向授課老師說明以提供協助。,--,--,--,--,O 接受 Allowed,--
11110PE  205032,PE 205032,PE2050,PE   體育室,太極拳,Tai Chi,0,36,0,--,中文 ZH,"PEC柔道教室	T5T6
",T5T6,PEC柔道教室,"張耀庭	CHANG, YAO-TING",患有重大傷病或特殊病史之同學，請主動向授課老師說明以提供協助。,--,--,--,--,O 接受 Allowed,--
11110PE  205033,PE 205033,PE2050,PE   體育室,定向越野,Orienteering,0,36,0,--,中文 ZH,"Stadium田徑場	T5T6
",T5T6,Stadium田徑場,"余杰霖	YU, CHIEH-LIN",患有重大傷病或特殊病史之同學，請主動向授課老師說明以提供協助。,--,--,--,--,O 接受 Allowed,--
11110PE  205034,PE 205034,PE2050,PE   體育室,高爾夫球,Golf,0,26,0,--,中文 ZH,--,--,--,"謝文偉	HSIEH, WEN-WEI",患有重大傷病或特殊病史之同學，請主動向授課老師說明以提供協助。前三堂在視聽教室，須自付保險及練習費。,--,--,--,--,O 接受 Allowed,--
